ngram freq
in_the 193
of_the 187
to_the 94
on_the 78
for_the 57
at_the 56
in_a 55
to_be 47
with_the 46
and_the 46
with_a 41
and_a 37
he_said 36
for_a 33
said_the 31
will_be 30
has_been 30
it_was 29
is_a 29
to_a 28
as_a 28
one_of 27
of_a 26
more_than 26
on_a 25
by_the 25
the_first 24
he_was 23
as_the 22
going_to 22
that_the 22
said_he 19
have_been 19
when_he 19
from_the 19
to_get 18
the_new 18
the_state 18
to_have 18
new_york 18
to_do 17
out_of 17
according_to 17
she_said 17
they_are 16
was_a 16
have_a 15
is_the 15
about_the 15
but_the 15
into_the 15
in_his 15
did_not 14
the_best 14
trying_to 14
want_to 14
to_make 14
a_lot 13
be_a 13
this_is 13
the_same 13
that_is 13
have_to 13
during_the 13
the_city 13
which_is 12
of_their 12
and_then 12
that_he 12
of_his 12
she_was 12
should_be 12
the_past 12
is_not 11
we_have 11
high_school 11
said_â 11
lot_of 11
the_other 11
and_other 11
like_a 11
it_is 11
new_jersey 11
over_the 11
through_the 11
if_you 11
a_little 11
there_are 10
the_case 10
was_the 10
of_what 10
the_u.s 10
a_former 10
would_be 10
the_season 10
all_the 10
be_the 10
said_that 10
at_least 10
the_united 10
united_states 10
and_i 10
to_take 10
they_were 10
he_is 10
and_that 10
at_a 10
all_of 10
a_good 10
and_his 9
part_of 9
that_i 9
the_time 9
a_great 9
to_go 9
the_team 9
from_a 9
the_most 9
after_the 9
had_a 9
able_to 9
there_was 9
him_to 9
when_the 9
a_few 9
up_to 9
with_his 9
the_last 9
with_an 9
i_think 9
because_the 9
how_many 9
last_week 8
that_was 8
police_said 8
most_of 8
is_in 8
who_is 8
has_a 8
into_a 8
â_and 8
made_a 8
last_year 8
even_more 8
it_has 8
points_and 8
there_were 8
wanted_to 8
from_his 8
had_been 8
the_middle 8
said_in 8
said_they 8
the_one 8
and_he 8
in_an 8
around_the 8
the_world 8
some_of 8
before_the 8
who_was 8
when_they 8
that_will 8
i_had 8
a_new 8
that_they 7
that_would 7
percent_of 7
the_top 7
can_be 7
the_game 7
for_some 7
out_there 7
to_see 7
he_had 7
years_ago 7
and_we 7
said_it 7
this_year 7
out_to 7
i_don't 7
of_my 7
since_the 7
had_to 7
in_new 7
it's_a 7
of_new 7
after_a 7
the_issue 7
such_as 7
said_we 7
it_will 7
in_and 7
the_way 7
against_the 7
a.m_p.m 7
his_first 7
between_the 7
plans_to 7
the_company 7
many_of 7
just_a 7
in_their 7
he_has 7
of_its 7
it's_not 7
to_an 7
if_he 6
right_now 6
is_to 6
said_i 6
i_can't 6
i_just 6
a_long 6
the_public 6
to_become 6
people_who 6
of_those 6
would_have 6
is_that 6
says_the 6
she_has 6
she_is 6
agreed_to 6
the_current 6
that_has 6
kind_of 6
until_the 6
the_market 6
the_story 6
a_couple 6
need_to 6
deal_with 6
where_the 6
the_country 6
in_this 6
having_a 6
do_not 6
what_i 6
because_it 6
the_second 6
he_can 6
up_the 6
the_house 6
but_not 6
for_an 6
when_she 6
off_the 6
could_be 6
is_going 6
to_create 6
it_and 6
i_know 6
the_fourth 6
among_the 6
there's_a 6
was_in 6
enough_to 6
the_former 6
on_thursday 6
â_œi 6
i_was 6
in_which 6
on_his 6
to_play 6
she_had 6
based_on 6
their_own 6
we_will 6
block_of 6
to_build 6
because_of 6
los_angeles 6
to_help 5
oh_my 5
to_one 5
there_is 5
to_put 5
a_statement 5
what_the 5
to_reach 5
this_season 5
i_can 5
sales_tax 5
â_the 5
does_not 5
and_they're 5
the_film 5
the_yankees 5
the_fall 5
story_of 5
may_be 5
he_also 5
the_missouri 5
st_louis 5
â_said 5
was_about 5
a_bigger 5
the_law 5
time_to 5
on_friday 5
get_it 5
for_its 5
for_his 5
said_was 5
if_the 5
every_day 5
for_more 5
about_a 5
chief_executive 5
and_more 5
most_important 5
i_want 5
the_people 5
outside_the 5
the_economic 5
have_the 5
was_no 5
the_next 5
the_lakers 5
and_it 5
president_of 5
they_will 5
the_agency 5
by_a 5
he_would 5
used_to 5
of_her 5
the_day 5
got_to 5
way_to 5
come_out 5
thousands_of 5
two_weeks 5
said_she 5
i'm_not 5
orange_county 5
the_orange 5
p.m_sunday 5
and_they 5
him_a 5
he_did 5
away_from 5
in_may 5
out_the 5
wall_street 5
tried_to 5
will_have 5
the_deal 5
were_in 5
was_one 5
in_â 5
a_single 5
not_sure 5
or_a 5
do_it 5
not_a 5
of_being 5
which_has 5
of_us 5
what_he 5
home_in 5
was_doing 5
joined_the 5
and_new 5
work_in 5
not_be 5
as_well 5
to_determine 5
to_its 5
what_they 5
got_a 5
the_ball 5
in_two 5
and_has 5
middle_of 5
was_arrested 5
they_can 5
it_in 5
the_ap 5
and_if 5
we_need 5
in_chicago 5
but_it 5
people_in 5
are_no 5
with_their 5
of_that 4
in_that 4
the_town 4
say_the 4
the_phoenix 4
the_back 4
we_are 4
that_there 4
there_will 4
be_an 4
like_it 4
a_very 4
there_and 4
the_winter 4
like_to 4
it_would 4
up_and 4
become_a 4
is_an 4
focuses_on 4
the_west 4
season_the 4
has_to 4
well_as 4
but_i 4
to_give 4
of_your 4
the_field 4
of_people 4
and_said 4
the_man 4
to_pay 4
in_recent 4
kansas_city 4
the_governor 4
couple_of 4
once_again 4
is_now 4
met_with 4
the_bears 4
been_a 4
must_be 4
a_half 4
in_place 4
and_get 4
cuyahoga_county 4
at_this 4
this_point 4
family_and 4
make_sure 4
is_there 4
corner_of 4
second_half 4
a_better 4
next_year 4
are_going 4
a_man 4
to_his 4
director_of 4
showed_a 4
because_they 4
to_work 4
called_the 4
he_just 4
a_police 4
the_world's 4
who_has 4
the_investigation 4
might_have 4
you_can 4
will_not 4
and_in 4
members_of 4
the_national 4
of_state 4
iâ_m 4
department_of 4
the_road 4
year_but 4
how_much 4
but_he 4
his_wife 4
and_their 4
of_work 4
to_raise 4
each_year 4
the_latest 4
to_new 4
million_to 4
make_the 4
three_years 4
the_county 4
beyond_the 4
under_the 4
difficult_to 4
chance_to 4
likely_to 4
a_year 4
when_it 4
who_are 4
the_spring 4
who_have 4
he_should 4
and_was 4
to_improve 4
hard_to 4
i've_been 4
a_letter 4
the_ground 4
vote_on 4
the_cityâ 4
were_not 4
days_and 4
a_decade 4
loss_of 4
the_only 4
is_still 4
a_team 4
and_is 4
where_they 4
than_a 4
an_independent 4
if_your 4
number_of 4
up_in 4
of_course 4
when_you 4
a_home 4
the_senate 4
the_business 4
the_sale 4
time_of 4
involved_in 4
be_able 4
behind_the 4
a_study 4
few_years 4
in_order 4
order_to 4
because_i 4
charged_with 4
and_her 4
of_them 4
in_its 4
do_you 4
take_the 4
make_it 4
like_the 4
it's_just 4
napa_valley 4
i_have 4
the_summer 4
first_half 4
the_legislature 4
to_him 4
one_that 4
the_music 4
music_room 4
its_new 4
build_a 4
as_it 4
with_her 4
of_an 4
that_it 4
with_its 4
to_allow 4
known_as 4
in_downtown 4
and_rebounds 4
takes_the 4
late_in 4
i_do 4
no_more 4
up_with 4
for_best 4
used_for 4
form_of 4
front_of 4
is_no 4
county_prosecutor 4
university_of 4
more_of 4
to_vote 4
the_block 4
but_is 4
for_this 4
what_she 4
along_with 4
as_one 4
and_one 4
a_story 4
two_years 4
the_year 4
attorney_general 4
the_white 4
white_house 4
is_like 4
team_that 4
her_to 4
and_she 4
put_a 4
west_valley 4
up_for 4
gave_us 4
they_have 3
he_does 3
i_love 3
so_much 3
not_to 3
to_say 3
the_event 3
the_details 3
lead_to 3
here_in 3
in_cleveland 3
week_and 3
this_year's 3
the_crash 3
at_p.m 3
saturday_night 3
night_at 3
but_don't 3
if_they 3
are_to 3
for_yards 3
work_to 3
despite_the 3
in_ohio 3
states_where 3
home_values 3
the_state's 3
rbi_single 3
the_third 3
gave_the 3
a_lead 3
and_made 3
pay_for 3
a_way 3
way_that 3
i_could 3
but_also 3
waiting_for 3
much_of 3
parts_of 3
be_back 3
working_for 3
season_and 3
if_i 3
can_get 3
get_some 3
out_if 3
to_extend 3
to_add 3
which_he 3
that_we 3
we_can 3
to_increase 3
has_become 3
and_its 3
new_orleans 3
golden_state 3
night_to 3
are_still 3
she_did 3
and_also 3
team_is 3
i_get 3
the_night 3
compared_with 3
charged_in 3
expected_to 3
to_begin 3
not_been 3
for_instance 3
to_that 3
story_is 3
a_different 3
life_of 3
scored_points 3
fourth_quarter 3
the_school 3
million_in 3
though_he 3
to_college 3
the_center 3
the_line 3
he_played 3
the_guy 3
were_a 3
case_of 3
about_to 3
in_kansas 3
the_president 3
and_now 3
super_bowl 3
him_and 3
to_receive 3
were_the 3
it_done 3
open_to 3
the_court 3
or_not 3
the_area 3
may_have 3
the_book 3
has_had 3
but_that 3
that_wasn't 3
said_of 3
down_and 3
get_a 3
the_industry 3
than_other 3
not_know 3
tea_party 3
and_technology 3
i_am 3
began_to 3
new_hampshire 3
in_december 3
are_the 3
on_tuesday 3
and_no 3
a_free 3
returned_to 3
what_a 3
i_say 3
say_to 3
while_the 3
to_win 3
they_weren't 3
declined_to 3
to_disclose 3
san_diego 3
officials_said 3
from_somewhere 3
somewhere_else 3
made_it 3
where_he 3
we_were 3
he_went 3
the_crowd 3
saw_the 3
turned_into 3
out_a 3
due_process 3
to_return 3
return_to 3
say_they 3
will_face 3
face_a 3
billion_in 3
run_the 3
get_to 3
police_officer 3
said_dr 3
chair_of 3
of_all 3
and_others 3
not_the 3
a_hole 3
too_many 3
of_five 3
to_let 3
six_months 3
as_part 3
that_made 3
the_division 3
in_any 3
about_p.m 3
on_april 3
the_right 3
she_says 3
might_be 3
willing_to 3
the_bank 3
the_highest 3
was_going 3
the_department 3
no_one 3
her_husband 3
few_months 3
