ngram freq
in_the_united_states 5
going_to_have_to 4
the_middle_of_the 4
in_the_middle_of 4
in_the_block_of 4
is_going_to_be 3
you_sign_up_for 3
did_not_return_a 2
not_return_a_call 2
six_of_their_last 2
even_more_important_than 2
may_be_the_best 2
there_will_be_a 2
a_lot_of_people 2
on_a_couple_of 2
open_to_the_public 2
and_get_it_done 2
to_the_united_states 2
the_tea_party_movement 2
want_to_make_sure 2
to_make_sure_that 2
said_there_was_no 2
he_would_be_a 2
as_part_of_a 2
at_the_height_of 2
north_of_the_city 2
with_the_green_spring 2
for_the_first_time 2
about_times_more_likely 2
times_more_likely_to 2
midway_through_the_first 2
through_the_first_quarter 2
and_high_school_students 2
the_state_according_to 2
the_current_crop_of 2
i_wasn't_going_to 2
wrote_a_letter_to 2
the_wall_street_journal 2
he_did_not_know 2
the_rest_of_the 2
at_the_time_of 2
the_time_of_the 2
the_same_amount_of 2
for_at_least_a 2
charged_with_a_blown 2
with_a_blown_save 2
in_the_final_minute 2
the_music_room_has 2
a_long_way_to 2
to_feel_comfortable_with 2
to_all_of_us 2
closures_are_also_expected 2
home_in_the_block 2
i'm_not_sure_we'll 2
the_front_of_the 2
the_orange_county_register 2
the_ball_in_the 2
the_united_states_to 2
it_would_be_a 2
fans_are_going_to 2
of_the_immigration_law 2
whether_some_of_the 2
what_i_was_doing 2
to_have_to_do 2
one_of_the_most 2
just_like_the_one 2
had_my_picture_taken 2
to_find_out_if 2
the_team_with_the 2
an_allied_manager_said 1
allied_manager_said_he 1
manager_said_he_knew 1
said_he_knew_of 1
he_knew_of_that 1
knew_of_that_intention 1
of_that_intention_but 1
that_intention_but_deferred 1
intention_but_deferred_comment 1
but_deferred_comment_to 1
deferred_comment_to_a 1
comment_to_a_company 1
to_a_company_lawyer 1
a_company_lawyer_who 1
company_lawyer_who_did 1
lawyer_who_did_not 1
who_did_not_return 1
return_a_call_seeking 1
a_call_seeking_comment 1
statewide_children_younger_than 1
children_younger_than_are 1
younger_than_are_in 1
than_are_in_that 1
are_in_that_high-needs 1
in_that_high-needs_category 1
that_high-needs_category_because 1
high-needs_category_because_they're 1
category_because_they're_poor 1
because_they're_poor_their 1
they're_poor_their_family's 1
poor_their_family's_native 1
their_family's_native_language 1
family's_native_language_isn't 1
native_language_isn't_english 1
language_isn't_english_or 1
isn't_english_or_they 1
english_or_they_have 1
or_they_have_a 1
they_have_a_disability 1
have_a_disability_or 1
a_disability_or_developmental 1
disability_or_developmental_delay 1
last_week_liz_warrenâ 1
campaign_told_the_boston 1
told_the_boston_herald 1
the_boston_herald_that 1
boston_herald_that_they 1
herald_that_they_â 1
that_they_â_œflatly 1
they_â_œflatly_denied 1
â_œflatly_denied_that 1
œflatly_denied_that_she 1
denied_that_she_ever 1
that_she_ever_touted 1
she_ever_touted_her 1
ever_touted_her_native 1
touted_her_native_american 1
her_native_american_background 1
native_american_background_professionally.â 1
everyone_will_go_crazy 1
will_go_crazy_if 1
go_crazy_if_he 1
crazy_if_he_does 1
if_he_does_it 1
he_does_it_odell 1
does_it_odell_whispered 1
it_odell_whispered_we 1
odell_whispered_we_could 1
whispered_we_could_really 1
we_could_really_use 1
could_really_use_this 1
really_use_this_right 1
use_this_right_now 1
the_goal_of_the 1
goal_of_the_fellowship 1
of_the_fellowship_championed 1
the_fellowship_championed_by 1
fellowship_championed_by_minutes 1
championed_by_minutes_legend 1
by_minutes_legend_mike 1
minutes_legend_mike_wallace 1
legend_mike_wallace_is 1
mike_wallace_is_to 1
wallace_is_to_help 1
is_to_help_mid-career 1
to_help_mid-career_journalists 1
help_mid-career_journalists_grow 1
mid-career_journalists_grow_as 1
journalists_grow_as_critical 1
grow_as_critical_thinkers 1
as_critical_thinkers_opinion 1
critical_thinkers_opinion_leaders 1
thinkers_opinion_leaders_and 1
opinion_leaders_and_entrepreneurial 1
leaders_and_entrepreneurial_journalists 1
â_show_low_historical 1
show_low_historical_museum 1
low_historical_museum_local 1
historical_museum_local_lore 1
museum_local_lore_exhibits 1
local_lore_exhibits_prehistoric 1
lore_exhibits_prehistoric_native 1
exhibits_prehistoric_native_american 1
prehistoric_native_american_artifacts 1
native_american_artifacts_and 1
american_artifacts_and_turn-of-the-century 1
artifacts_and_turn-of-the-century_photos 1
and_turn-of-the-century_photos_of 1
turn-of-the-century_photos_of_the 1
photos_of_the_town 1
of_the_town_details 1
the_town_details_call 1
town_details_call_or 1
details_call_or_visit 1
call_or_visit_the 1
or_visit_the_museum's 1
visit_the_museum's_website 1
the_museum's_website_at 1
museum's_website_at_www.showlowmuseum.com 1
it_was_amazing_kaitlyn 1
was_amazing_kaitlyn_said 1
amazing_kaitlyn_said_i 1
kaitlyn_said_i_love 1
said_i_love_david 1
i_love_david_beckham 1
love_david_beckham_so 1
david_beckham_so_much 1
beckham_so_much_oh 1
so_much_oh_my 1
that_was_amazing_i 1
