ngram freq
one_of_the 14
a_lot_of 11
the_united_states 10
some_of_the 7
he_said_he 6
going_to_have 5
to_have_to 5
in_the_middle 5
i_want_to 5
is_going_to 5
in_the_united 5
in_the_past 5
the_middle_of 5
he_said_the 4
out_there_and 4
in_the_fall 4
according_to_the 4
and_a_half 4
to_make_sure 4
of_new_jersey 4
there_was_no 4
would_be_a 4
going_to_be 4
said_in_a 4
the_orange_county 4
he_did_not 4
in_the_fourth 4
in_the_state 4
many_of_the 4
for_more_than 4
be_able_to 4
when_he_was 4
in_order_to 4
it_was_a 4
middle_of_the 4
the_music_room 4
to_build_a 4
out_of_the 4
points_and_rebounds 4
because_of_the 4
in_the_block 4
the_block_of 4
there_will_be 3
in_the_third 3
is_the_best 3
it_would_be 3
all_the_time 3
in_the_case 3
the_story_of 3
will_be_a 3
this_is_a 3
percent_of_the 3
a_couple_of 3
get_it_done 3
to_the_public 3
part_of_the 3
and_get_it 3
at_this_point 3
the_second_half 3
from_somewhere_else 3
turned_into_a 3
to_be_the 3
as_part_of 3
part_of_a 3
with_his_wife 3
the_first_time 3
the_first_quarter 3
runs_in_the 3
and_a_former 3
was_in_the 3
as_a_team 3
will_have_to 3
in_new_york 3
the_most_important 3
of_being_a 3
i_wanted_to 3
and_new_york 3
was_one_of 3
it_will_be 3
i'm_trying_to 3
up_to_the 3
at_least_a 3
of_the_new 3
during_the_summer 3
most_of_the 3
who_grew_up 3
its_new_location 3
it_plans_to 3
learned_about_the 3
it's_just_a 3
late_in_the 3
have_to_do 3
front_of_the 3
home_in_the 3
i'm_not_sure 3
of_the_year 3
the_white_house 3
to_be_a 3
in_the_season 3
he_said_we 3
there_are_no 3
involved_in_the 3
the_team_that 3
west_valley_college 3
the_los_angeles 3
you_sign_up 3
sign_up_for 3
gave_us_more 3
who_did_not 2
did_not_return 2
not_return_a 2
return_a_call 2
they_have_a 2
call_or_visit 2
which_is_not 2
night_at_the 2
for_yards_and 2
we_have_a 2
have_a_lot 2
most_of_those 2
changes_to_the 2
will_be_an 2
top_of_the 2
in_a_way 2
a_very_small 2
get_some_good 2
to_increase_the 2
has_become_a 2
six_of_their 2
of_their_last 2
of_the_season 2
the_season_the 2
any_kind_of 2
the_likes_of 2
five_of_the 2
with_the_same 2
even_more_important 2
more_important_than 2
will_be_tried 2
has_not_been 2
pointing_to_the 2
the_life_of 2
scored_points_and 2
may_be_the 2
be_the_best 2
the_best_defensive 2
in_northeast_ohio 2
at_the_center 2
i_just_hope 2
on_the_field 2
lot_of_people 2
of_people_who 2
within_minutes_the 2
also_called_for 2
in_kansas_city 2
on_a_couple 2
and_call_it 2
to_see_a 2
approved_by_the 2
is_open_to 2
open_to_the 2
said_he_was 2
he_was_the 2
this_is_the 2
is_the_most 2
one_of_my 2
or_not_we 2
he_said_was 2
may_have_been 2
the_story_is 2
is_in_a 2
will_be_the 2
has_had_to 2
but_that_wasn't 2
said_of_the 2
having_a_baby 2
cuyahoga_county_commissioner 2
to_the_united 2
he_had_been 2
more_than_other 2
this_point_we 2
we_do_not 2
the_tea_party 2
tea_party_movement 2
are_trying_to 2
to_prevent_a 2
because_it_is 2
it_is_the 2
want_to_make 2
make_sure_that 2
a_standing_ovation 2
three_of_the 2
i_say_to 2
hotel_room_where 2
said_they_weren't 2
declined_to_disclose 2
said_there_was 2
said_they_were 2
it_was_worse 2
the_due_process 2
more_than_billion 2
out_to_the 2
to_get_to 2
one_of_those 2
a_police_officer 2
is_not_the 2
around_the_world 2
in_exchange_for 2
he_would_be 2
to_let_him 2
at_the_height 2
the_height_of 2
members_of_the 2
leading_up_to 2
of_the_mission 2
