ngram freq
the 1963
and 941
to 896
a 885
of 753
in 654
that 352
for 337
is 281
said 271
with 254
on 248
he 245
was 240
it 210
at 204
i 167
as 162
be 154
but 153
are 145
his 144
â 140
an 130
from 130
have 129
will 127
has 127
who 125
by 121
not 120
they 113
this 110
more 105
about 105
or 98
we 96
when 96
she 89
their 87
one 87
were 87
new 86
been 81
had 79
you 76
out 73
her 72
what 70
just 66
first 66
up 66
after 66
than 65
if 65
no 65
all 63
which 62
it's 61
like 61
its 60
there 59
would 58
two 58
other 57
can 56
him 55
also 55
state 55
my 54
because 53
people 51
so 48
time 48
last 47
do 47
some 44
year 43
over 42
get 42
into 42
before 40
still 40
years 40
now 39
made 39
team 38
how 38
three 36
many 35
county 35
p.m 34
where 34
most 33
says 33
your 33
good 32
season 32
going 32
then 32
even 32
through 32
did 31
could 31
them 31
any 31
work 30
home 30
really 29
back 29
way 29
police 28
while 27
off 27
those 27
city 27
only 27
million 27
since 27
day 26
best 26
take 25
former 25
thursday 25
make 25
should 24
i'm 24
being 24
down 24
may 24
much 23
night 23
don't 23
school 23
know 23
five 23
against 23
percent 22
game 22
until 22
next 22
health 21
our 21
us 21
left 21
past 21
president 21
too 21
these 21
house 21
during 21
today 21
say 20
public 20
valley 20
states 20
play 20
u.s 20
got 20
half 20
around 20
me 20
go 19
right 19
never 19
case 19
second 19
high 19
business 19
times 19
ã 19
law 19
every 19
between 19
want 19
better 19
took 19
company 18
put 18
great 18
center 18
room 18
office 18
according 18
court 18
used 18
york 18
think 18
here 17
ohio 17
months 17
tax 17
another 17
four 17
west 17
doing 17
place 17
story 17
again 17
members 17
didn't 17
each 17
he's 17
they're 16
road 16
big 16
run 16
lot 16
very 16
see 16
own 16
points 16
away 16
st 16
open 16
days 16
under 16
asked 16
street 16
call 15
told 15
long 15
come 15
part 15
plans 15
gave 15
pay 15
money 15
sure 15
man 15
well 15
came 15
that's 15
chicago 15
friday 15
deal 15
making 15
bank 15
family 15
went 15
billion 15
national 15
few 15
students 15
old 15
help 14
show 14
need 14
little 14
whose 14
small 14
six 14
though 14
life 14
college 14
sunday 14
plan 14
among 14
group 14
issue 14
trying 14
probably 14
weeks 14
department 14
games 14
week 13
american 13
use 13
minutes 13
cleveland 13
monday 13
wasn't 13
something 13
enough 13
coach 13
same 13
market 13
called 13
tuesday 13
university 13
general 13
book 13
spring 13
include 13
found 13
including 13
world 13
head 13
late 13
a.m 13
board 13
players 13
there's 13
both 13
children 12
lead 12
become 12
food 12
safety 12
changes 12
program 12
area 12
top 12
working 12
important 12
give 12
why 12
loss 12
having 12
federal 12
point 12
began 12
class 12
several 12
such 12
training 12
costs 12
find 12
does 11
goal 11
love 11
current 11
despite 11
voters 11
either 11
wednesday 11
ago 11
green 11
john 11
free 11
month 11
thought 11
inc 11
early 11
once 11
done 11
authorities 11
united 11
party 11
park 11
jersey 11
hard 11
mark 11
news 11
april 11
order 11
service 11
district 11
g 11
mike 10
can't 10
america 10
phoenix 10
statement 10
third 10
single 10
always 10
potential 10
without 10
starting 10
already 10
brought 10
scored 10
hope 10
mayor 10
guy 10
morning 10
least 10
bad 10
whether 10
must 10
middle 10
orange 10
helped 10
groups 10
future 10
officials 10
real 10
getting 10
building 10
shot 10
medical 10
investigation 10
might 10
bill 10
t 10
near 10
vote 10
difficult 10
nearly 10
cut 10
council 10
attorney 10
prices 10
price 10
system 10
spending 10
control 10
music 10
manager 9
return 9
native 9
campaign 9
local 9
david 9
drive 9
yards 9
california 9
north 9
we're 9
agreed 9
eight 9
won 9
different 9
practice 9
others 9
person 9
fourth 9
services 9
field 9
played 9
club 9
takes 9
information 9
woman 9
country 9
wanted 9
washington 9
east 9
technology 9
able 9
senior 9
outside 9
lost 9
win 9
else 9
you're 9
young 9
downtown 9
james 9
process 9
face 9
white 9
owner 9
coming 9
mother 9
i've 9
playing 9
full 9
itâ 9
programs 9
senate 9
spokesman 9
summer 9
fire 9
known 9
poor 8
english 8
ever 8
oh 8
events 8
tour 8
homes 8
saturday 8
education 8
list 8
felt 8
teams 8
yet 8
cause 8
black 8
record 8
williams 8
using 8
kind 8
seconds 8
oil 8
begin 8
saw 8
mix 8
together 8
allow 8
charged 8
tried 8
seven 8
quarter 8
following 8
march 8
line 8
history 8
executive 8
michael 8
sports 8
saying 8
looked 8
share 8
couple 8
front 8
based 8
turned 8
earlier 8
prosecutor 8
republican 8
look 8
major 8
often 8
chief 8
officer 8
credit 8
women 8
died 8
number 8
san 8
re 8
agency 8
rose 8
possible 8
reported 8
risk 8
given 8
looking 8
raise 8
red 8
wine 8
ball 8
create 8
player 8
noted 8
death 8
view 8
anyone 8
ask 8
higher 8
behind 8
companies 8
later 8
fans 8
started 8
south 8
avenue 8
dinner 8
feel 8
pretty 8
support 8
obama 8
comment 7
low 7
visit 7
texas 7
insurance 7
offer 7
received 7
candidate 7
sales 7
save 7
bay 7
discussion 7
social 7
taking 7
division 7
louis 7
reduce 7
river 7
revenue 7
means 7
looks 7
expected 7
fall 7
however 7
doesn't 7
data 7
hits 7
total 7
director 7
missouri 7
administration 7
bowl 7
popular 7
businesses 7
w 7
thing 7
although 7
change 7
guys 7
movement 7
close 7
son 7
michigan 7
economic 7
stop 7
m 7
benefits 7
dr 7
ford 7
shooting 7
hasn't 7
space 7
hours 7
iâ 7
official 7
cost 7
car 7
concerns 7
growing 7
spent 7
lake 7
los 7
contract 7
report 7
stores 7
numbers 7
decision 7
grand 7
nothing 7
things 7
set 7
church 7
injury 7
runs 7
race 7
almost 7
career 7
restaurant 7
start 7
capital 7
below 7
taken 7
travel 7
course 7
location 7
card 7
judge 7
form 7
drivers 7
immigration 7
learned 7
available 7
study 7
role 7
meeting 7
worked 7
held 7
along 7
arrested 7
leave 7
build 7
basketball 7
action 7
ap 7
focus 7
lawyer 6
younger 6
everyone 6
details 6
event 6
necessary 6
features 6
plays 6
banks 6
immediately 6
due 6
winter 6
governor 6
wants 6
increase 6
hole 6
result 6
power 6
personal 6
political 6
kids 6
central 6
less 6
jr 6
film 6
draft 6
trial 6
care 6
lewis 6
jobs 6
beyond 6
anything 6
within 6
clear 6
paid 6
recent 6
announced 6
final 6
we'll 6
situation 6
approved 6
government 6
financial 6
private 6
wrote 6
large 6
special 6
finally 6
map 6
rep 6
research 6
track 6
determine 6
everything 6
marijuana 6
industry 6
similar 6
fell 6
box 6
success 6
heâ 6
lakers 6
showed 6
crowd 6
parking 6
chris 6
miles 6
workers 6
union 6
mind 6
shows 6
professor 6
weather 6
problem 6
simple 6
instead 6
father 6
security 6
across 6
injuries 6
fund 6
chicken 6
evidence 6
davis 6
friends 6
hill 6
latest 6
community 6
released 6
possibly 6
chance 6
likely 6
victory 6
sometimes 6
living 6
comes 6
decided 6
example 6
affect 6
œi 6
defense 6
jones 6
per 6
goals 6
paul 6
tell 6
forward 6
records 6
fact 6
joined 6
development 6
sale 6
involved 6
side 6
afternoon 6
built 6
league 6
napa 6
allowed 6
keep 6
block 6
championship 6
sen 6
cross 6
budget 6
survey 6
sixth 6
tower 6
deficit 6
whatever 6
sign 6
question 6
master 6
led 6
angeles 6
economy 6
try 6
inside 6
hopes 6
isn't 5
leaders 5
town 5
believe 5
walk 5
includes 5
seat 5
commissioner 5
running 5
defensive 5
products 5
schools 5
reach 5
youth 5
added 5
highway 5
parts 5
won't 5
plus 5
shots 5
perhaps 5
add 5
raised 5
gov 5
focuses 5
reports 5
leadership 5
tough 5
heat 5
yankees 5
via 5
online 5
simply 5
brown 5
bigger 5
kansas 5
radio 5
congress 5
funding 5
met 5
lawmakers 5
reached 5
considered 5
democratic 5
sent 5
required 5
returned 5
bit 5
critics 5
aren't 5
cuyahoga 5
tea 5
am 5
corner 5
sister 5
talk 5
william 5
ahead 5
everybody 5
enjoy 5
eric 5
international 5
losing 5
clinic 5
included 5
date 5
himself 5
veterans 5
he'd 5
let 5
compensation 5
joe 5
comfortable 5
management 5
struck 5
rest 5
annual 5
talking 5
served 5
hospital 5
toward 5
follow 5
policy 5
offense 5
wife 5
sun 5
teachers 5
thousands 5
filed 5
television 5
hold 5
blazers 5
miss 5
product 5
breaking 5
stand 5
usually 5
dispute 5
route 5
spokeswoman 5
benefit 5
oregon 5
jerry 5
june 5
link 5
calls 5
buy 5
november 5
improve 5
someone 5
definitely 5
letter 5
ground 5
hearing 5
sept 5
wall 5
girl 5
complete 5
fair 5
legal 5
sell 5
lose 5
speaker 5
ticket 5
atlantic 5
extremely 5
art 5
independent 5
founder 5
chase 5
consistent 5
struggling 5
daughter 5
break 5
resident 5
lower 5
balance 5
further 5
characters 5
student 5
funny 5
illinois 5
property 5
robert 5
talks 5
task 5
provide 5
wells 5
cold 5
water 5
war 5
trip 5
theater 5
planned 5
uses 5
production 5
plant 5
video 5
juice 5
truth 5
safe 5
hired 5
offers 5
taxes 5
mr 5
kept 5
areas 5
driver 5
store 5
yes 5
colorado 5
spoke 5
corporate 5
position 5
she's 5
chef 5
patients 5
became 5
circle 5
rich 5
rebounds 5
rates 5
traffic 5
movie 5
prison 5
committee 5
knew 4
grow 4
rather 4
neighborhood 4
charles 4
crash 4
cases 4
americans 4
issued 4
oklahoma 4
remain 4
conference 4
picked 4
values 4
jimmy 4
whenever 4
partner 4
understand 4
team's 4
efforts 4
page 4
meet 4
offensive 4
incident 4
gone 4
transportation 4
needs 4
professional 4
tied 4
strong 4
winning 4
energy 4
performed 4
george 4
whole 4
expect 4
remaining 4
cook 4
august 4
compared 4
stay 4
rights 4
determined 4
relationship 4
pulled 4
stolen 4
bases 4
restaurants 4
carried 4
effect 4
perfect 4
adding 4
nfl 4
projects 4
trade 4
agent 4
gm 4
super 4
patient 4
base 4
receive 4
aid 4
badly 4
investments 4
agreement 4
legislation 4
debt 4
collection 4
bear 4
bears 4
football 4
stories 4
biggest 4
testified 4
christian 4
dimora 4
politicians 4
crisis 4
consider 4
lives 4
parents 4
romney 4
december 4
accused 4
jazz 4
land 4
houston 4
weren't 4
detectives 4
declined 4
diego 4
closed 4
pitch 4
hear 4
contacted 4
d 4
tournament 4
heard 4
transport 4
urging 4
soon 4
september 4
couldn't 4
wait 4
chair 4
far 4
world's 4
threat 4
quality 4
pepper 4
nearby 4
driving 4
aside 4
customers 4
offered 4
exchange 4
light 4
tougher 4
j 4
biden 4
secretary 4
leading 4
scoring 4
ran 4
fired 4
officers 4
husband 4
audience 4
effort 4
kill 4
fun 4
charges 4
nov 4
bloomberg 4
commission 4
estimated 4
registered 4
round 4
antibiotics 4
bringing 4
faces 4
millions 4
luck 4
jim 4
ryan 4
minute 4
champion 4
arm 4
richardson 4
paint 4
move 4
specific 4
beauty 4
easy 4
science 4
cannot 4
common 4
worth 4
classic 4
minor 4
giving 4
seemed 4
pitcher 4
hank 4
suspicious 4
especially 4
dog 4
pain 4
reasons 4
voice 4
interview 4
air 4
child 4
enforcement 4
unit 4
confident 4
systems 4
cityâ 4
live 4
decade 4
forget 4
february 4
gas 4
faith 4
seems 4
researchers 4
step 4
sessions 4
daily 4
walking 4
marathon 4
rising 4
arts 4
catholic 4
carry 4
twins 4
results 4
youâ 4
fat 4
dodgers 4
places 4
missing 4
jan 4
cardinals 4
issues 4
opportunity 4
beef 4
rate 4
you'll 4
code 4
seek 4
claims 4
physical 4
encourage 4
republicans 4
blue 4
ended 4
gets 4
rock 4
experience 4
recently 4
note 4
signed 4
blues 4
rookie 4
veteran 4
plaintiffs 4
generation 4
illegal 4
successful 4
dress 4
junior 4
helping 4
phone 4
remained 4
factors 4
score 4
films 4
idea 4
picture 4
academic 4
opening 4
urban 4
military 4
solid 4
adam 4
electric 4
bars 4
whom 4
orders 4
ve 4
ice 4
indians 4
needed 4
spots 4
buildings 4
site 4
cuts 4
plane 4
legislature 4
favorite 4
assist 4
relationships 4
accident 4
wave 4
goes 4
locations 4
deals 4
previous 4
gop 4
learning 4
alleged 4
england 4
culinary 4
recipes 4
produce 4
region 4
massachusetts 4
joseph 4
deer 4
disease 4
healthy 4
ending 4
appears 4
finished 4
smith 4
actor 4
performance 4
actress 4
shoes 4
noon 4
pills 4
doctors 4
inches 4
media 4
foods 4
actually 4
cream 4
analyst 4
justice 4
blocked 4
designed 4
assistant 4
de 4
mg 4
thomas 4
web 4
overall 4
residents 4
facilities 4
butter 4
sense 4
books 4
men 4
member 4
fda 4
post 4
design 4
steve 4
salmon 4
levels 4
jackson 4
coffee 4
knows 4
politics 4
chances 4
nba 4
matter 4
developmental 3
boston 3
denied 3
journalists 3
historical 3
photos 3
amazing 3
quite 3
truly 3
significant 3
india 3
year's 3
modern 3
ralph 3
killed 3
clearly 3
table 3
rent 3
dan 3
disappointing 3
finish 3
